URL,Giá,Diện tích sử dụng,Diện tích đất,Phòng ngủ,Phòng tắm,Giấy tờ pháp lý,Ngày đăng,Địa chỉ,Giá (VND),Số ngày từ đăng,Giá (VND)_std,Giá (VND)_mm,Diện tích sử dụng_std,Diện tích sử dụng_mm,Diện tích đất_std,Diện tích đất_mm,Số ngày từ đăng_std,Số ngày từ đăng_mm,Tỉnh/TP,Quận/Huyện/TP,Phường/Xã/TT,Đường/Số nhà,Địa chỉ (chuẩn)
https://moso.vn/ban-69034b76d63888398870c2cf,4.8 Tỷ,60.6,77.1,6.0,6.0,certificate,30/10/2025,"2/23A Đường số 13, Linh Xuân, Thủ Đức, Hồ Chí Minh",4800000000.0,0,-0.7180877563050182,0.14339622641509434,-0.9753397422612955,0.13460572576594676,0.34989116350533084,0.4191304347826087,-1.463053957721741,0.0,Hồ Chí Minh,TP Thủ Đức,Phường Linh Xuân,"2/23A Đường số 13, Hồ Chí Minh","2/23A Đường số 13, Linh Xuân, Thủ Đức, Hồ Chí Minh"
https://moso.vn/ban-69034961d63888398870bc4c,21.5 Tỷ,66.2,66.2,2.0,1.0,certificate,30/10/2025,"801/43 Đường Xô Viết Nghệ Tĩnh, 25, Bình Thạnh, Hồ Chí Minh",21500000000.0,0,2.231226483526608,0.7735849056603774,-0.8999815470441238,0.14866901054746362,0.016789036448699578,0.3559420289855073,-1.463053957721741,0.0,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,"801/43 Đường Xô Viết Nghệ Tĩnh, Hồ Chí Minh","801/43 Đường Xô Viết Nghệ Tĩnh, 25, Bình Thạnh, Hồ Chí Minh"
https://moso.vn/ban-6903475dd63888398870b555,1.8 Tỷ,26.0,9.3,1.0,1.0,certificate,30/10/2025,"40/13/27 Đường Số 2, 3, Gò Vấp, Hồ Chí Minh",1800000000.0,0,-1.247904685616089,0.03018867924528302,-1.4409457341388199,0.04771471622300352,-1.722065186443258,0.026086956521739136,-1.463053957721741,0.0,Hồ Chí Minh,Quận Gò Vấp,Phường 3,"40/13/27 Đường Số 2, Hồ Chí Minh","40/13/27 Đường Số 2, 3, Gò Vấp, Hồ Chí Minh"
https://moso.vn/ban-69033ccbd63888398870990e,8.3 Tỷ,105.6,32.3,3.0,4.0,certificate,30/10/2025,"315/26A Đường Lê Văn Sỹ, 13, 3, Hồ Chí Minh",8300000000.000001,0,-0.09996800544210233,0.2754716981132076,-0.36978281640902383,0.2476142641888498,-1.0191891385255951,0.15942028985507245,-1.463053957721741,0.0,Hồ Chí Minh,Quận 3,Phường 13,"315/26A Đường Lê Văn Sỹ, Hồ Chí Minh","315/26A Đường Lê Văn Sỹ, 13, 3, Hồ Chí Minh"
https://moso.vn/ban-69033875d638883988708c97,5.5 Tỷ,111.9,60.3,1.0,2.0,certificate,30/10/2025,"D2/49 Quốc Lộ 50, Ấp 4, Đa Phước, Bình Chánh, Hồ Chí Minh",5500000000.0,0,-0.5944638061324351,0.169811320754717,-0.28500484678970567,0.26343545956805625,-0.1635139497562663,0.32173913043478264,-1.463053957721741,0.0,Hồ Chí Minh,Huyện Bình Chánh,Xã Đa Phước,"D2/49 Quốc Lộ 50, Ấp 4, Hồ Chí Minh","D2/49 Quốc Lộ 50, Ấp 4, Đa Phước, Bình Chánh, Hồ Chí Minh"
https://moso.vn/ban-690332a6d638883988707bf0,8.5 Tỷ,123.3,45.7,4.0,3.0,certificate,30/10/2025,"524/16/19 Nguyễn Đình Chiểu, 4, 3, Hồ Chí Minh",8500000000.0,0,-0.06464687682136445,0.2830188679245283,-0.13159709224046362,0.29206428930185835,-0.6096874410431304,0.23710144927536234,-1.463053957721741,0.0,Hồ Chí Minh,Quận 3,Phường 4,"524/16/19 Nguyễn Đình Chiểu, Hồ Chí Minh","524/16/19 Nguyễn Đình Chiểu, 4, 3, Hồ Chí Minh"
https://moso.vn/ban-6903322dd6388839887078b6,12.5 Tỷ,282.2,120.0,3.0,3.0,certificate,30/10/2025,"63 Đường Số 5, Khu nhà ở Bắc Lương Bèo, Tân Tạo A, Bình Tân, Hồ Chí Minh",12500000000.0,0,0.6417756955933964,0.4339622641509434,2.00669169704678,0.6911099949773983,1.660907792012624,0.6678260869565217,-1.463053957721741,0.0,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,"63 Đường Số 5, Khu nhà ở Bắc Lương Bèo, Hồ Chí Minh","63 Đường Số 5, Khu nhà ở Bắc Lương Bèo, Tân Tạo A, Bình Tân, Hồ Chí Minh"
https://moso.vn/ban-69032f42d6388839887071cc,12.5 Tỷ,211.1,75.0,5.0,5.0,certificate,30/10/2025,"152/29 Bông Sao, 5, 8, Hồ Chí Minh",12500000000.0,0,0.6417756955933964,0.4339622641509434,1.0499117542001908,0.5125565042692114,0.28571552434763137,0.40695652173913044,-1.463053957721741,0.0,Hồ Chí Minh,Quận 8,Phường 5,"152/29 Bông Sao, Hồ Chí Minh","152/29 Bông Sao, 5, 8, Hồ Chí Minh"
https://moso.vn/ban-69032cf1d6388839887068df,2 Tỷ,350.9,174.6,4.0,4.0,certificate,30/10/2025,"D5/136A Quốc lộ 50, Phong Phú, Bình Chánh, Hồ Chí Minh",2000000000.0,0,-1.2125835569953507,0.03773584905660377,2.931175270514581,0.8636363636363636,3.3294744101128146,0.9843478260869564,-1.463053957721741,0.0,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,"D5/136A Quốc lộ 50, Hồ Chí Minh","D5/136A Quốc lộ 50, Phong Phú, Bình Chánh, Hồ Chí Minh"
https://moso.vn/ban-690324b1d638883988704d79,9 Tỷ,116.8,60.3,1.0,1.0,certificate,30/10/2025,"D8/235C Quốc lộ 50, Phong Phú, Bình Chánh, Hồ Chí Minh",9000000000.0,0,0.02365594473048065,0.3018867924528302,-0.21906642597468062,0.27574083375188346,-0.1635139497562663,0.32173913043478264,-1.463053957721741,0.0,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,"D8/235C Quốc lộ 50, Hồ Chí Minh","D8/235C Quốc lộ 50, Phong Phú, Bình Chánh, Hồ Chí Minh"
